,y_test,y_pred
0,No,No
1,No,No
2,No,No
3,No,No
4,No,Yes
5,No,No
6,No,No
7,No,No
8,No,No
9,No,Yes
10,No,No
11,No,No
12,No,Yes
13,No,Yes
14,No,No
15,No,No
16,No,Yes
17,No,No
18,No,Yes
19,No,Yes
20,No,No
21,No,No
22,No,Yes
23,No,No
24,No,No
25,No,No
26,No,No
27,No,Yes
28,No,Yes
29,No,No
30,No,No
31,No,Yes
32,No,No
33,No,No
34,No,No
35,No,No
36,No,Yes
37,No,Yes
38,No,No
39,No,No
40,No,Yes
41,No,No
42,No,Yes
43,No,No
44,No,No
45,No,No
46,No,Yes
47,No,Yes
48,No,Yes
49,No,No
50,No,No
51,No,No
52,No,No
53,Yes,Yes
54,No,No
55,No,No
56,No,Yes
57,No,No
58,No,No
59,No,No
60,No,No
61,No,No
62,No,No
63,No,Yes
64,No,Yes
65,No,No
66,No,No
67,Yes,Yes
68,No,No
69,No,No
70,No,Yes
71,No,No
72,No,Yes
73,No,No
74,No,No
75,No,No
76,No,Yes
77,No,No
78,No,No
79,No,No
80,No,Yes
81,No,No
82,No,Yes
83,No,No
84,No,Yes
85,No,No
86,No,No
87,No,Yes
88,No,No
89,No,No
90,No,No
91,No,Yes
92,No,No
93,No,No
94,No,No
95,No,Yes
96,No,No
97,No,No
98,No,No
99,No,No
100,No,No
101,No,No
102,No,No
103,No,No
104,No,No
105,No,Yes
106,No,Yes
107,No,Yes
108,No,No
109,No,No
110,No,Yes
111,No,No
112,No,No
113,No,No
