,y_test,y_pred
0,12.64,26.06
1,7.719999999999999,10.35
2,79.3,79.3
3,60.28,74.99
4,10.759999999999998,9.69
5,47.65,47.1
6,58.52,59.0
7,23.51,22.72
8,79.99,61.89
9,56.14,52.12
10,17.58,17.54
11,40.39,48.15
12,29.45,38.33
13,12.369999999999997,17.2
14,68.3,56.83
15,56.14,55.25
16,41.89,33.36
17,35.76,34.68
18,59.76,52.61
19,35.86,39.94
20,56.34,61.46
21,26.939999999999998,27.63
22,21.5,32.9
23,59.76,41.64
24,14.54,17.54
25,25.18,26.85
26,60.29,66.9
27,31.35,21.06
28,56.14,61.07
29,66.82,66.95
30,17.58,20.87
31,48.85,48.79
32,24.28,24.05
33,27.83,47.81
34,21.18,21.16
35,9.130000000000003,6.94
36,36.3,28.6
37,25.37,26.31
38,32.63,33.95
39,37.27,25.72
40,39.3,37.8
41,31.35,35.17
42,32.25,32.24
43,46.39,37.81
44,47.72,57.23
45,33.4,33.4
46,24.07,30.14
47,42.42,33.8
48,32.82,35.08
49,51.73,52.91
50,42.14,40.93
51,27.83,21.75
52,16.5,16.5
53,40.71,42.35
54,48.99,50.94
55,44.13,64.02
56,55.51,52.2
57,47.72,53.39
58,64.3,64.3
59,36.97,44.52
60,38.21,37.42
61,20.08,22.14
62,67.765,62.94
63,54.9,45.7
64,17.17,14.64
65,67.7,53.58
66,39.42,33.72
67,24.34,24.58
68,13.2,13.2
69,14.839999999999996,18.91
70,15.34,7.4
71,27.77,24.85
72,49.2,49.2
73,27.83,25.57
74,67.7,31.38
75,30.189999999999998,23.35
76,40.23,45.71
77,15.030000000000001,6.81
78,39.6,27.34
79,42.03,39.59
80,17.22,30.96
81,51.04,55.64
82,17.37,18.02
83,34.24,33.09
84,52.04,48.72
85,47.4,36.8
86,36.84,45.9
87,47.72,46.68
88,40.87,40.87
89,38.56,35.34
90,62.05,65.7
91,14.990000000000002,17.24
92,12.55,9.45
93,50.6,33.94
94,15.57,15.57
95,39.78,40.27
96,13.54,15.82
97,41.54,41.54
98,46.68,50.24
99,39.6,29.98
100,19.42,20.73
101,23.52,27.42
102,31.54,27.66
103,29.87,29.73
104,37.27,45.08
105,42.14,42.13
106,51.72,51.96
107,12.55,15.61
108,38.21,34.29
109,53.52,53.52
110,6.899999999999999,4.83
111,41.37,41.37
112,14.14,9.73
113,34.24,31.81
114,52.43,41.05
115,67.11,61.92
116,37.44,37.42
117,37.91,37.92
118,31.35,32.72
119,19.42,14.94
120,44.13,44.09
121,26.92,26.92
122,64.3,64.9
123,29.65,29.22
124,12.46,12.46
125,10.79,8.0
126,11.469999999999999,13.71
127,7.719999999999999,13.66
128,25.1,63.14
129,37.23,37.91
130,31.64,37.4
131,56.14,55.06
132,34.67,35.23
133,31.42,31.42
134,9.619999999999997,10.73
135,56.34,47.97
136,31.35,38.89
137,33.42,38.8
138,2.3299999999999983,4.57
139,15.75,10.39
140,31.35,29.59
141,51.73,54.38
142,22.95,22.5
143,28.63,28.63
144,17.58,17.34
145,33.7,32.33
146,36.84,41.67
147,9.009999999999998,15.87
148,31.97,44.86
149,17.58,17.54
150,17.22,11.98
151,15.420000000000002,15.42
152,17.84,30.39
153,43.38,45.85
154,31.35,41.68
155,42.64,42.64
156,49.2,34.9
157,24.07,25.45
158,33.0,39.3
159,27.83,27.92
160,45.94,52.5
161,41.68,37.81
162,15.52,15.53
163,22.49,30.57
164,26.86,37.36
165,7.509999999999998,14.59
166,50.66,53.69
167,47.72,57.03
168,51.73,55.26
169,8.2,6.47
170,33.42,33.42
171,43.58,41.16
172,31.74,31.45
173,34.49,36.15
174,10.759999999999998,14.4
175,17.22,13.36
176,8.54,8.54
177,36.84,40.29
178,39.6,32.04
179,56.85,51.43
180,19.54,21.48
181,29.87,29.72
182,14.839999999999996,14.2
183,33.54,37.68
184,12.73,24.13
185,52.91,23.85
186,31.35,36.45
187,44.28,44.28
188,15.04,19.52
189,67.765,59.49
190,32.72,25.18
191,70.7,69.3
192,61.24,61.23
193,35.76,32.92
194,2.3299999999999983,6.28
195,47.78,39.7
196,33.4,33.4
197,23.839999999999996,23.84
198,31.35,39.27
199,68.3,72.3
200,20.77,18.13
201,27.83,27.53
202,33.76,33.76
203,17.82,33.01
204,39.42,33.72
205,12.469999999999999,13.82
